         31874 function calls (31325 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 generic.py:487(_validate_dtype)
        1    0.000    0.000    0.000    0.000 construction.py:487(<listcomp>)
       36    0.000    0.000    0.000    0.000 _trace.py:1110(is_tracing)
        4    0.000    0.000    0.000    0.000 astype.py:158(astype_array)
      234    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_np_dtype}
        5    0.000    0.000    0.000    0.000 config.py:145(_get_option)
       88    0.000    0.000    0.000    0.000 inference.py:334(is_hashable)
       78    0.000    0.000    0.000    0.000 _dtype.py:330(_name_includes_bit_suffix)
        3    0.000    0.000    0.000    0.000 concat.py:572(_is_uniform_join_units)
        1    0.000    0.000    0.000    0.000 concat.py:403(__init__)
      108    0.000    0.000    0.000    0.000 indexing.py:1143(<genexpr>)
       12    0.000    0.000    0.000    0.000 _functional_tensor.py:18(get_dimensions)
        2    0.000    0.000    0.000    0.000 managers.py:2224(_merge_blocks)
        4    0.000    0.000    0.000    0.000 common.py:1587(pandas_dtype)
      116    0.000    0.000    0.000    0.000 base.py:830(_reset_identity)
      110    0.000    0.000    0.000    0.000 common.py:367(apply_if_callable)
      314    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 indexing.py:1718(_get_slice_axis)
      266    0.000    0.000    0.000    0.000 base.py:5126(_values)
        1    0.000    0.000    0.000    0.000 concat.py:703(_get_comb_axis)
       37    0.000    0.000    0.000    0.000 range.py:973(__getitem__)
       37    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 astype.py:56(_astype_nansafe)
       37    0.000    0.000    0.000    0.000 managers.py:967(<listcomp>)
       29    0.000    0.000    0.000    0.000 common.py:556(require_length_match)
        1    0.000    0.000    0.000    0.000 generic.py:6553(copy)
      108    0.000    0.000    0.000    0.000 indexing.py:955(<genexpr>)
      108    0.000    0.000    0.000    0.000 indexing.py:2694(<genexpr>)
        2    0.000    0.000    0.000    0.000 generic.py:5509(<genexpr>)
       72    0.000    0.000    0.000    0.000 common.py:1390(_get_dtype)
        2    0.000    0.000    0.000    0.000 _tensor.py:980(__iter__)
      108    0.000    0.000    0.000    0.000 indexing.py:2685(<genexpr>)
      194    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x741500}
        6    0.000    0.000    0.000    0.000 concat.py:322(_get_block_for_concat_plan)
        1    0.000    0.000    0.000    0.000 api.py:72(get_objs_combined_axis)
       73    0.000    0.000    0.000    0.000 common.py:131(<lambda>)
       36    0.000    0.000    0.000    0.000 generic.py:556(_get_axis_name)
        1    0.000    0.000    0.000    0.000 construction.py:237(ndarray_to_mgr)
        6    0.000    0.000    0.000    0.000 managers.py:2212(<lambda>)
       76    0.000    0.000    0.000    0.000 frame.py:952(axes)
        1    0.000    0.000    0.000    0.000 base.py:5609(identical)
        1    0.000    0.000    0.000    0.000 generic.py:4296(_slice)
       77    0.000    0.000    0.000    0.000 managers.py:1799(__init__)
      105    0.000    0.000    0.000    0.000 construction.py:732(_maybe_repeat)
        3    0.000    0.000    0.000    0.000 blocks.py:198(_consolidate_key)
        1    0.000    0.000    0.000    0.000 api.py:120(_get_combined_index)
        3    0.000    0.000    0.000    0.000 managers.py:1825(from_array)
        1    0.000    0.000    0.000    0.000 dataset.py:477(get_language_instruction)
        5    0.000    0.000    0.000    0.000 config.py:127(_get_single_key)
       36    0.000    0.000    0.000    0.000 missing.py:639(na_value_for_dtype)
      193    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
       78    0.000    0.000    0.000    0.000 common.py:123(<lambda>)
